"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","z_score"
5,2015,11,18,2015-11-18,42.9,33.8,1034.9,10,3.2,8.9,NA,51.1,30.9,0,0,628,0.83736531213103
2,2014,12,21,2014-12-21,41.4,34,1024.2,9.8,7.1,9.9,NA,46,36,0.06,0,409,-0.52209473321343
6,2013,11,21,2013-11-21,39,26.7,1035,10,4.9,9.9,NA,48,30.9,0,0,628,0.83736531213103
7,2017,11,24,2017-11-24,40.8,30.7,1016.1,10,6.9,9.9,NA,50,33.1,0,0,502,0.055210217549286
4,2019,2,5,2019-02-05,43,42.1,1014.2,3,4.8,9.9,NA,50,34,0,1,570,0.477325665418799
7,2019,10,25,2019-10-25,55.9,51.1,1025.2,9.6,6,9.9,NA,64,43,0,1,647,0.955309334329865
5,2014,5,21,2014-05-21,56.3,47.6,1014.9,10,6,9.9,NA,68,45,0,0,575,0.508363565997439
3,2014,6,9,2014-06-09,61.2,57,1015.2,7.1,5.6,9.9,NA,68,55,0,1,528,0.216607300558217
5,2013,8,28,2013-08-28,66.4,64.6,1012,3.9,6.8,9.9,NA,72,62.6,0.67,1,482,-0.0689413847652766
6,2014,6,19,2014-06-19,67.3,61.5,1013.6,9.7,6.5,9.9,NA,72,63.7,0,0,675,1.12912157757025
3,2012,7,9,2012-07-09,78.5,56.8,1012.7,10,3.5,9.9,NA,84,68,0.09,0,533,0.247645201136858
5,2012,10,3,2012-10-03,65.6,64.3,1016.6,1.5,3.5,9.9,NA,73,62.6,0.45,1,502,0.055210217549286
2,2017,8,27,2017-08-27,62.3,53.6,1024.6,10,5,9.9,NA,73,50,0,0,498,0.0303798970863735
3,2014,6,23,2014-06-23,62.1,50.3,1019.7,10,4.1,9.9,NA,73,52,0,0,644,0.936686593982681
7,2015,7,17,2015-07-17,64.9,57.6,1019.1,10,6,9.9,NA,73,54,0,0,659,1.0298002957186
3,2019,9,2,2019-09-02,64.9,60.9,1021.2,10,6.4,9.9,NA,73,55.9,0,0,427,-0.410358291130324
5,2017,9,27,2017-09-27,68.7,68.6,1014,1.5,4.7,9.9,NA,77,62.1,0,1,696,1.25948076000054
4,2014,9,2,2014-09-02,71.1,69.4,1013.1,1.7,6.8,9.9,NA,77,68,0.01,1,700,1.28431108046346
6,2018,7,19,2018-07-19,67.9,57.5,1016.8,10,6.3,9.9,NA,77,59,0,0,739,1.52640670497685
6,2015,9,10,2015-09-10,73.8,71.2,1011.3,5.6,5.6,9.9,NA,77,71.6,0,1,716,1.38363236231511
7,2018,7,13,2018-07-13,64.8,55.1,1024.2,10,5,9.9,NA,77,54,0,0,726,1.44570816347239
7,2015,9,18,2015-09-18,70.1,66.5,1017.8,7.9,6.4,9.9,NA,77,48.9,0,1,760,1.65676588740714
6,2016,6,30,2016-06-30,68.9,63.6,1014.4,5.9,6.4,9.9,NA,77,63,0,1,761,1.66297346752287
4,2019,8,6,2019-08-06,68.9,65.5,1013.4,9.8,7.2,9.9,NA,77,63,0,0,551,0.359381643219964
5,2012,8,15,2012-08-15,73.6,68.9,1011.5,6.5,3.5,9.9,NA,81,66.2,0.01,1,602,0.675968229122099
5,2018,7,4,2018-07-04,71.7,70.5,1025.7,4.8,6.8,9.9,NA,81,62.1,0,1,406,-0.540717473560615
4,2012,8,14,2012-08-14,76,62.6,1014,9.6,2.3,9.9,NA,81,69.1,0,0,520,0.166946659632392
3,2018,8,6,2018-08-06,74.8,73.4,1018.6,6.3,7.2,9.9,NA,81,70,0,0,632,0.862195632593943
3,2017,8,21,2017-08-21,69.9,65.6,1020.4,9.8,5.9,9.9,NA,81,61,0,0,627,0.831157732015302
2,2012,7,1,2012-07-01,83.6,63,1008.9,9.7,4.1,9.9,18.1,93,66,0,0,538,0.278683101715499
2,2014,2,9,2014-02-09,30.3,18.2,1018.7,10,4.9,9.9,NA,37,21.9,0,0,450,-0.267583948468577
7,2016,1,29,2016-01-29,41.3,36.8,999.4,10,5.9,9.9,NA,45,23,0,0,645,0.942894174098409
7,2018,3,23,2018-03-23,37.5,31.9,1012.6,10,7,9.9,NA,45,30,0.07,0,732,1.48295364416676
7,2017,1,20,2017-01-20,39.9,32.5,1015.5,10,4.3,9.9,NA,45,37,0,0,605,0.694590969469283
3,2018,5,14,2018-05-14,50.5,49.6,1016.9,6.4,5.5,9.9,NA,57,48,0,1,689,1.21602769919045
2,2019,10,20,2019-10-20,49.3,44.1,1018.2,10,3.9,9.9,NA,59,39,0,0,500,0.0427950573178298
5,2012,10,24,2012-10-24,57.1,53.5,1019.9,6.4,4.1,9.9,NA,59,51.8,0.07,0,494,0.00554957662346098
1,2017,5,27,2017-05-27,57.5,48.6,1011.4,10,7.2,9.9,NA,63,51.1,0.03,0,475,-0.112394445575373
2,2012,11,11,2012-11-11,54.7,45.1,1030.8,7,1.6,9.9,NA,63,37.4,0,0,526,0.204192140326761
3,2016,10,3,2016-10-03,60.5,56.1,1016.2,9.9,4.4,9.9,NA,66,57,0,0,490,-0.0192807438394515
5,2015,10,7,2015-10-07,57,50.5,1014.1,10,5.4,9.9,NA,66,48.9,0,0,668,1.08566851676016
4,2012,10,2,2012-10-02,63.7,54.2,1015.5,7.3,2.4,9.9,NA,70,60.1,0,0,593,0.620100008080546
1,2016,5,21,2016-05-21,55.7,48.8,1021,9.7,6.5,9.9,NA,70,46,0,0,568,0.464910505187343
2,2014,8,3,2014-08-03,66.4,64.6,1019.1,6,5.1,9.9,NA,70,61,0.6,1,476,-0.106186865459645
5,2016,7,27,2016-07-27,75.4,66.3,1012.4,10,7,9.9,NA,82,70,0,0,690,1.22223527930617
4,2017,7,4,2017-07-04,72,61.5,1016.5,9.8,5.8,9.9,NA,82,61,0,0,424,-0.428981031477508
3,2016,8,8,2016-08-08,71.3,61.3,1015.4,10,6.3,9.9,NA,82,62.1,0,0,632,0.862195632593943
4,2012,7,10,2012-07-10,76.5,56.3,1016,10,3.4,9.9,NA,86,61,0,0,524,0.191776980095305
5,2018,9,5,2018-09-05,69.2,64.7,1024.1,9.3,4.8,9.9,NA,86,61,0,1,768,1.70642652833297
7,2018,8,10,2018-08-10,76.9,68.4,1010.2,9.6,6.4,9.9,NA,86,68,0.04,0,707,1.32776414127355
3,2018,7,2,2018-07-02,68.4,64.9,1018.9,8.7,4.7,9.9,NA,86,63,0,0,719,1.40225510266229
1,2016,9,3,2016-09-03,63.2,57.5,1022,10,5.7,9.9,NA,75,55.9,0,0,498,0.0303798970863735
1,2014,7,26,2014-07-26,66.9,63.2,1015.8,9.8,6.9,9.9,NA,75,61,0,0,534,0.253852781252586
3,2015,7,27,2015-07-27,71.1,66.5,1017.3,9.9,8.3,9.9,NA,75,61,0,0,626,0.824950151899574
6,2013,8,8,2013-08-08,67.8,64,1020.1,10,6.7,9.9,NA,75,54,0,0,549,0.346966482988508
5,2018,9,12,2018-09-12,71,69.6,1023,3.1,4,9.9,NA,79,66,0,1,783,1.79954023006889
2,2019,8,18,2019-08-18,71.2,69.7,1016.4,4.2,4,9.9,NA,79,62.1,0,1,481,-0.0751489648810047
